PID,Season,contestant,ChW,ChA,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Finish,Time,nonVFB,VFB%,nVFB%,NoJ,InRCA,InRCW,InICA,InICW,InChA,InChW,InChW%,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,TrCh 2nd,TrCh 3rd,Exile,TVA,VAT%,NI VFT,NI VFT%,Sex,Birthday,Day 1 Filming date,Age,,VVp,VAPi
184,23,Ozzy Lusth,5.93,8.48,0.70,0,2,17,62,8,0.22,0.33,5,0,9,0.00,0.92,6.27,38,4,3,6,0.25,0.75,6.27,0.5,0.5,4,2,4.5,2.5,0.56,0,0,7,3,7,3,0.429,0,0,15,3,0.38,3,0.42,M,,,,,,17
340,23,Brandon Hantz,1.55,9.48,0.16,0,10,4,92,11,0.91,3.18,9,0,9,0.00,1.07,4.73,36,6,1,1,0.91,0.09,4.73,0,0,8,1,8,1,0.13,0,0,7,4,7,4,0.571,0,0,1,2,0.18,8,0.80,M,,,,,,4
341,23,Elyse Umemoto,0.27,1.15,0.23,0,2,3,24,3,0.63,2.67,2,0,9,0.00,0.86,2.93,15,15,1,1,0.67,0.33,2.93,0,0,0,0,0,0,#DIV/0!,0,0,6,2,6,2,0.333,0,0,1,1,0.33,2,0.67,F,,,,,,3
342,23,Whitney Duncan,1.68,6.48,0.26,0,4,7,80,9,0.43,1.13,8,0,9,0.00,0.69,2.82,28,9,1,5,0.44,0.56,2.82,0,0,5,1,5,1,0.20,0,0,7,3,7,3,0.429,0,0,1,1,0.11,7,0.88,F,,,,,,7
343,23,Dawn Meehan,1.43,6.48,0.22,0,5,9,72,8,0.61,1.35,6,0,9,0.00,0.83,2.78,28,10,1,3,0.63,0.38,2.78,0,0,4,1,4,1,0.25,0,0,7,3,7,3,0.429,0,0,1,2,0.25,5,0.71,F,,,,,,9
344,23,Mikayla Wingle,0.38,1.31,0.29,0,2,4,24,3,0.61,2.33,2,0,9,0.00,0.90,2.71,17,14,1,1,0.67,0.33,2.71,0,0,0,0,0,0,#DIV/0!,0,0,6,3,6,3,0.500,0,0,1,1,0.33,2,0.67,F,,,,,,4
345,23,Christine Shields-Markoski,2.61,3.24,0.81,0,0,4,9,1,-0.44,0.00,0,0,9,0.00,0.36,2.61,20,13,1,1,0.00,1.00,2.61,0,0,0,0,0,0,#DIV/0!,0,0,2,1,2,1,0.500,0,0,15,1,1.00,0,0.00,F,,,,,,4
346,23,Jim Rice,1.43,4.48,0.32,0,3,8,63,7,0.41,1.00,5,0,9,0.00,0.73,2.43,25,12,1,4,0.43,0.57,2.43,0,0,3,1,3,1,0.33,0,0,7,3,7,3,0.429,0,0,1,2,0.29,4,0.67,M,,,,,,8
347,23,Keith Tollefson,0.68,2.48,0.28,0,3,6,42,5,0.57,1.68,4,0,9,0.00,0.85,2.36,25,11,1,2,0.60,0.40,2.36,0,0,1,0,1,0,0.00,0,0,7,3,7,3,0.429,0,0,4,1,0.20,4,0.80,M,,,,,,6
348,23,Rick Nelson,0.55,9.98,0.05,1,10,11,97,12,0.82,1.56,9,0,9,0.00,0.88,2.10,37,5,1,2,0.83,0.17,2.10,0,0,9,0,9,0,0.00,0,0,7,4,7,4,0.571,0,0,0,3,0.25,9,0.75,M,,,,,,11
349,23,John Cochran,0.43,7.48,0.06,0,8,13,87,10,0.79,1.32,3,0,9,0.00,0.84,1.75,31,8,1,2,0.80,0.20,1.75,0,0,7,0,7,0,0.00,0,0,7,3,7,3,0.429,0,0,1,7,0.70,3,0.30,M,,,,,,13
350,23,Edna Ma,0.55,8.48,0.06,2,7,15,87,10,0.68,1.03,4,0,9,0.00,0.75,1.58,33,7,1,3,0.70,0.30,1.58,0,0,7,0,7,0,0.00,0,0,7,4,7,4,0.571,0,0,1,6,0.60,4,0.40,F,,,,,,15
351,23,Papa Bear Caruso,0.13,0.86,0.15,0,1,6,17,2,0.32,1.40,1,0,9,0.00,0.47,1.53,9,17,1,1,0.50,0.50,1.53,0,0,0,0,0,0,#DIV/0!,0,0,3,1,3,1,0.333,0,0,1,1,0.50,1,0.50,M,,,,,,6
352,23,Stacey Powell,0.24,1.00,0.24,0,0,10,17,2,-0.29,0.00,0,0,9,0.00,-0.06,0.24,12,16,1,2,0.00,1.00,0.24,0,0,0,0,0,0,#DIV/0!,0,0,4,2,4,2,0.500,0,0,1,2,1.00,0,0.00,F,,,,,,10
353,23,Semhar Tadesse,0.00,0.61,0.00,0,0,8,9,1,-0.89,0.00,0,0,9,0.00,-0.89,0.00,6,18,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,3,1,1.00,0,0.00,F,,,,,,8
354,24,Kim Spradlin,6.08,13.81,0.44,0,9,3,80,10,0.90,3.60,8,7,9,0.78,2.11,14.35,39,1,1,1,0.90,0.10,9.68,3,1,9,4,12,5,0.42,8,5,5,2,13,7,0.538,0,0,0,2,0.20,3,0.50,F,,,,,,3
355,24,Sabrina Robinson,1.08,13.81,0.08,1,9,2,80,10,0.90,4.20,8,2,9,0.22,1.20,6.61,39,2,1,1,0.90,0.10,5.28,3,0,9,0,12,0,0.00,8,5,5,2,13,7,0.538,0,0,0,2,0.20,8,0.80,F,,,,,,2
356,24,Chelsea Meissner,3.05,13.81,0.22,0,9,4,80,10,0.90,3.15,7,0,9,0.00,1.12,6.20,39,3,1,1,0.90,0.10,6.20,3,1,9,1,12,2,0.17,8,5,5,2,13,7,0.538,0,0,0,3,0.30,5,0.56,F,,,,,,4
357,24,Troyzan Robertson,3.32,7.81,0.43,0,4,4,67,7,0.56,2.00,5,0,9,0.00,0.99,5.32,30,8,1,3,0.57,0.43,5.32,1,0,5,2,6,2,0.33,8,5,5,4,13,9,0.692,0,0,0,2,0.29,3,0.60,M,,,,,2,6
358,24,Jay Byars,2.32,4.81,0.48,1,4,5,50,5,0.78,2.49,4,0,9,0.00,1.26,4.81,25,10,1,1,0.80,0.20,4.81,0,0,3,1,3,1,0.33,8,5,5,4,13,9,0.692,0,0,0,1,0.20,3,0.75,M,,,,,,5
359,24,Alicia Rosa,1.80,12.81,0.14,0,7,5,83,10,0.69,2.18,8,0,9,0.00,0.83,3.97,37,5,1,3,0.70,0.30,3.97,3,0,8,1,11,1,0.09,8,4,5,1,13,5,0.385,0,0,0,2,0.20,7,0.78,F,,,,,,5
360,24,Kat Edorsson,2.08,9.81,0.21,0,5,7,65,7,0.70,1.82,5,0,9,0.00,0.91,3.90,33,7,1,2,0.71,0.29,3.90,2,1,6,0,8,1,0.13,8,5,5,2,13,7,0.538,0,0,0,2,0.29,4,0.57,F,,,,,,7
361,24,Leif Manson,0.70,5.81,0.12,1,4,5,66,7,0.56,1.78,5,0,9,0.00,0.68,2.48,27,9,1,3,0.57,0.43,2.48,0,0,4,0,4,0,0.00,8,2,5,3,13,5,0.385,0,0,0,2,0.29,5,0.71,M,,,,,,5
362,24,Colton Cumbie*,0.50,1.24,0.41,1,3,1,24,3,0.69,1.91,2,0,9,0.00,1.10,2.41,16,13,1,0,1.00,0.00,2.41,0,0,0,0,0,0,#DIV/0!,5,1,5,3,10,4,0.400,0,0,0,1,0.33,2,0.67,M,,,,,,1
363,24,Michael Jefferson,1.03,3.48,0.30,1,2,9,40,4,0.44,1.08,2,0,9,0.00,0.74,2.11,22,11,1,2,0.50,0.50,2.11,0,0,2,0,2,0,0.00,7,3,5,4,12,7,0.583,0,0,0,2,0.50,2,0.50,M,,,,,,9
364,24,Jonas Otsuji,0.36,2.41,0.15,1,3,10,36,4,0.68,1.50,3,0,9,0.00,0.83,1.86,20,12,1,1,0.75,0.25,1.86,0,0,1,0,1,0,0.00,6,1,5,2,11,3,0.273,0,0,0,1,0.25,3,0.75,M,,,,,,10
365,24,Tarzan Smith,0.58,11.68,0.05,3,7,12,87,10,0.69,1.23,6,0,9,0.00,0.74,1.80,36,6,1,3,0.70,0.30,1.80,3,0,7,0,10,0,0.00,8,2,5,2,13,4,0.308,0,0,0,4,0.40,6,0.60,M,,,,,,12
366,24,Christina Cha,0.80,13.81,0.06,0,5,9,87,11,0.45,0.98,7,0,9,0.00,0.50,1.77,38,4,1,6,0.45,0.55,1.77,3,0,9,0,12,0,0.00,8,4,5,1,13,5,0.385,0,0,0,4,0.36,7,0.64,F,,,,,,9
367,24,Bill Posley,0.50,0.79,0.64,1,1,8,17,2,0.26,1.17,0,0,9,0.00,0.90,1.67,11,15,1,1,0.50,0.50,1.67,0,0,0,0,0,0,#DIV/0!,3,1,4,3,7,4,0.571,0,0,0,2,1.00,0,0.00,M,,,,,,8
368,24,Monica Culpepper,0.43,1.08,0.40,0,0,5,15,2,-0.17,0.00,1,0,9,0.00,0.23,0.43,14,14,1,2,0.00,1.00,0.43,0,0,0,0,0,0,#DIV/0!,4,2,5,1,9,3,0.333,0,0,0,1,0.50,1,0.50,F,,,,,,5
369,24,Matt Quinlan,0.36,0.65,0.56,0,0,7,9,1,-0.78,0.00,0,0,9,0.00,-0.22,0.36,8,16,1,1,0.00,1.00,0.36,0,0,0,0,0,0,#DIV/0!,2,1,3,2,5,3,0.600,0,0,0,1,1.00,0,0.00,M,,,,,,7
370,24,Kourtney Moon*,0.00,0.11,0.00,0,0,0,0,0,-1.00,0.00,0,0,9,0.00,-1.00,0.00,3,18,1,0,#DIV/0!,#DIV/0!,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,0,#DIV/0!,0,#DIV/0!,F,,,,,,0
371,24,Nina Acosta,0.00,0.36,0.00,0,0,6,8,1,-0.75,0.00,0,0,9,0.00,-0.75,0.00,5,17,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,1,0,2,0,3,0,0.000,0,0,0,1,1.00,0,0.00,F,,,,,,6
27,25,Mike Skupin,4.05,13.36,0.30,1,6,0,60,8,0.75,5.25,8,1,8,0.13,1.18,10.05,39,2,2,2,0.75,0.25,9.30,3,1,8,2,11,3,0.27,5,1,6,3,11,4,0.364,2,0,0,0,0.00,5,0.83,M,,,,,,0
372,25,Denise Stapley,1.65,13.36,0.12,0,11,6,89,14,0.78,2.20,10,6,8,0.75,1.65,8.35,39,1,1,3,0.79,0.21,3.85,3,0,8,1,11,1,0.09,5,3,6,0,11,3,0.273,0,0,0,4,0.29,9,0.69,F,,,,,,6
373,25,Malcolm Freberg,5.21,13.36,0.39,0,9,6,78,12,0.74,2.10,9,0,8,0,1.13,7.31,38,4,1,3,0.75,0.25,7.31,3,2,8,2,11,4,0.36,5,4,6,2,11,6,0.545,0,0,0,3,0.25,5,0.50,M,,,,,,6
374,25,Lisa Whelchel,0.99,13.36,0.07,2,5,0,60,8,0.63,4.38,8,1,8,0.13,0.82,6.12,39,2,1,3,0.63,0.38,5.37,3,0,8,0,11,0,0.00,5,2,6,3,11,5,0.455,1,0,0,0,0.00,8,1.00,F,,,,,,0
375,25,Carter Williams,3.38,9.36,0.36,0,5,5,62,8,0.61,1.94,7,0,8,0,0.98,5.33,33,6,1,3,0.63,0.38,5.33,1,0,6,2,7,2,0.29,5,3,6,2,11,5,0.455,2,0,0,1,0.13,5,0.83,M,,,,,,5
189,25,Jonathan Penner,2.33,7.36,0.32,0,4,9,56,7,0.55,1.23,3,0,8,0,0.87,3.56,30,7,3,3,0.57,0.43,3.56,0,0,5,1,5,1,0.20,5,3,6,2,11,5,0.455,2,0,0,4,0.57,2,0.33,M,,,,,5,14
376,25,Artis Silvester,1.25,5.11,0.24,1,2,5,30,3,0.61,2.07,2,0,8,0,0.86,3.33,25,9,1,1,0.67,0.33,3.33,0,0,3,0,3,0,0.00,4,1,6,4,10,5,0.500,2,0,0,1,0.33,2,0.67,M,,,,,,5
377,25,Jeff Kent,0.88,3.86,0.23,0,3,5,32,4,0.71,2.33,3,0,8,0,0.94,3.22,22,10,1,1,0.75,0.25,3.22,0,0,2,0,2,0,0.00,3,1,6,2,9,3,0.333,2,0,0,1,0.25,3,0.75,M,,,,,,5
295,25,Russ Swan,0.00,0.95,0.00,0,3,4,18,4,0.69,2.63,1,0,8,0,0.69,2.63,10,15,2,1,0.75,0.25,2.63,0,0,0,0,0,0,#DIV/0!,0,0,4,0,4,0,0.000,0,0,0,3,0.75,1,0.25,M,,,,,,4
378,25,Pete Yurkowski,1.50,6.36,0.24,0,2,9,38,4,0.44,1.08,1,0,8,0,0.68,2.58,27,8,1,2,0.50,0.50,2.58,0,0,4,0,4,0,0.00,5,2,6,4,11,6,0.545,2,0,0,3,0.75,1,0.25,M,,,,,,9
379,25,Angie Layton,0.00,0.62,0.00,0,2,4,15,3,0.58,2.33,1,0,8,0,0.58,2.33,8,16,1,1,0.67,0.33,2.33,0,0,0,0,0,0,#DIV/0!,0,0,3,0,3,0,0.000,0,0,0,2,0.67,1,0.33,F,,,,,,4
380,25,Abi-Maria Gomes,1.48,11.36,0.13,6,2,6,56,7,0.27,0.80,3,0,8,0,0.40,2.28,36,5,1,5,0.29,0.71,2.28,2,0,7,1,9,1,0.11,5,2,6,0,11,2,0.182,1,0,0,4,0.57,2,0.33,F,,,,,3,9
381,25,Katie Hanson,0.27,1.66,0.16,2,1,4,11,2,0.32,1.75,1,0,8,0,0.48,2.02,16,12,1,1,0.50,0.50,2.02,0,0,0,0,0,0,#DIV/0!,2,0,6,1,8,1,0.125,1,0,0,1,0.50,1,0.50,F,,,,,,4
382,25,Roxy Morris,0.00,0.37,0.00,0,1,4,11,2,0.32,1.75,1,0,8,0,0.32,1.75,6,17,1,1,0.50,0.50,1.75,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,0,0,0,1,0.50,1,0.50,F,,,,,,4
383,25,RC Saint-Amour,0.92,2.66,0.35,2,0,4,11,1,-0.36,0.00,0,0,8,0,-0.02,0.92,19,11,1,1,0.00,1.00,0.92,0,0,1,0,1,0,0.00,2,1,6,3,8,4,0.500,2,0,0,1,1.00,0,0.00,F,,,,,,4
384,25,Dana Lambert*,0.52,1.09,0.47,1,0,0,0,0,-1.00,0.00,0,0,8,0,-0.53,0.52,12,14,1,0,#DIV/0!,#DIV/0!,0.52,0,0,0,0,0,0,#DIV/0!,1,0,4,2,5,2,0.400,1,0,0,0,#DIV/0!,0,#DIV/0!,F,,,,,,0
385,25,Sarah Dawson,0.17,1.26,0.13,3,0,5,6,1,-0.83,0.00,0,0,8,0,-0.70,0.17,13,13,1,1,0.00,1.00,0.17,0,0,0,0,0,0,#DIV/0!,1,0,5,1,6,1,0.167,0,0,0,1,1.00,0,0.00,F,,,,,,5
386,25,Zane Knight,0.00,0.17,0.00,0,0,5,6,1,-0.83,0.00,0,0,8,0,-0.83,0.00,3,18,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,M,,,,,,5
349,26,John Cochran,5.03,11.73,0.43,1,8,0,99,12,0.67,4.67,12,8,8,1,2.10,15.70,39,1,2,4,0.67,0.33,9.70,2,1,8,3,10,4,0.40,6,4,6,3,12,7,0.583,0,0,0,0,0.00,8,0.89,M,,,,,,0
343,26,Dawn Meehan,1.65,11.73,0.14,2,9,2,99,12,0.75,3.50,10,0,8,0,0.89,5.15,39,2,2,3,0.75,0.25,5.15,2,0,8,1,10,1,0.10,6,3,6,2,12,5,0.417,0,0,0,2,0.17,9,0.82,F,,,,,,2
311,26,Brenda Lowe,3.07,9.73,0.32,1,5,5,82,9,0.55,1.73,7,0,8,0,0.86,4.79,36,6,2,4,0.56,0.44,4.79,1,1,7,1,8,2,0.25,6,3,6,5,12,8,0.667,0,0,0,2,0.22,5,0.63,F,,,,,,5
239,26,Erik Reichenbach*,2.47,9.73,0.25,1,6,2,82,9,0.59,1.53,7,0,8,0,0.85,3.99,36,5,2,3,0.67,0.33,3.99,1,0,7,1,8,1,0.13,6,5,6,5,12,10,0.833,0,0,0,2,0.22,6,0.75,F,,,,,,2
327,26,Andrea Boehlke,2.07,7.73,0.27,1,6,13,76,8,0.73,1.24,4,0,8,0,1.00,3.30,33,7,2,2,0.75,0.25,3.30,0,0,6,1,6,1,0.17,6,3,6,5,12,8,0.667,0,0,0,4,0.50,3,0.43,F,,,,,,13
373,26,Malcolm Freberg,1.23,5.73,0.22,0,3,3,61,6,0.49,2.00,4,0,8,0,0.71,3.23,30,9,2,3,0.50,0.50,3.23,0,0,4,0,4,0,0.00,6,4,6,5,12,9,0.750,0,0,0,2,0.33,4,0.67,M,,,,,2,5
328,26,Phillip Sheppard,0.96,4.73,0.20,1,5,5,65,7,0.70,2.22,5,0,8,0,0.91,3.18,28,10,2,2,0.71,0.29,3.18,0,0,3,0,3,0,0.00,6,4,6,3,12,7,0.583,0,0,0,2,0.29,5,0.71,M,,,,,,5
387,26,Sherri Biethman,0.41,11.73,0.03,2,9,6,93,11,0.81,2.29,9,0,8,0,0.85,2.70,39,2,1,2,0.82,0.18,2.70,2,0,8,0,10,0,0.00,6,1,6,2,12,3,0.250,0,0,0,2,0.18,9,0.82,F,,,,,,6
254,26,Corinne Kaplan,0.61,2.33,0.26,1,4,7,44,5,0.77,2.04,4,0,8,0,1.03,2.65,22,12,1,1,0.80,0.20,2.65,0,0,5,1,5,1,0.20,4,3,6,2,10,5,0.500,0,0,0,1,0.20,3,0.75,F,,,,,1,8
388,26,Reynold Toepfer,1.98,6.73,0.29,0,2,8,76,8,0.24,0.58,4,0,8,0,0.53,2.56,31,8,2,6,0.25,0.75,2.56,0,0,1,0,1,0,0.00,6,3,6,3,12,6,0.500,0,0,0,4,0.50,4,0.50,M,,,,,,8
389,26,Julia Landauer,0.10,1.33,0.08,0,3,5,39,5,0.57,1.87,3,0,8,0,0.65,1.97,19,13,1,2,0.60,0.40,1.97,0,0,0,0,0,0,#DIV/0!,4,0,6,1,10,1,0.100,0,0,0,2,0.40,3,0.60,F,,,,,,5
390,26,Laura Alexander,0.10,0.69,0.14,1,2,6,26,3,0.59,1.87,2,0,8,0,0.73,1.97,10,16,1,1,0.67,0.33,1.97,0,0,0,0,0,0,#DIV/0!,2,0,4,1,6,1,0.167,0,0,0,1,0.33,2,0.67,F,,,,,,6
391,26,Matt Bischoff,0.10,1.00,0.10,0,2,4,33,4,0.47,1.75,3,0,8,0,0.57,1.85,16,14,1,2,0.50,0.50,1.85,0,0,0,0,0,0,#DIV/0!,3,0,5,1,8,1,0.125,0,0,0,1,0.25,3,0.75,M,,,,,,4
392,26,Michael Snow,0.30,3.53,0.08,0,3,10,62,7,0.41,0.86,5,0,8,0,0.49,1.16,25,11,1,4,0.43,0.57,1.16,0,0,2,0,2,0,0.00,5,1,6,1,11,2,0.182,0,0,0,2,0.29,5,0.71,M,,,,,,10
393,26,Eddie Fox,0.78,11.73,0.07,0,2,12,93,11,0.17,0.32,5,0,8,0,0.24,1.09,38,4,1,9,0.18,0.82,1.09,2,0,8,0,10,0,0.00,6,2,6,3,12,5,0.417,0,0,0,6,0.55,5,0.45,M,,,,,,12
340,26,Brandon Hantz,0.76,0.86,0.88,0,0,8,19,2,-0.21,0.00,1,0,8,0,0.67,0.76,13,15,2,2,0.00,1.00,0.76,0,0,0,0,0,0,#DIV/0!,3,3,4,3,7,6,0.857,0,0,0,1,0.50,1,0.50,M,,,,,4,12
394,26,Shamar Thomas*,0.10,0.55,0.18,0,1,7,19,2,0.15,0.49,0,0,8,0,0.33,0.59,10,17,1,1,0.50,0.50,0.59,0,0,0,0,0,0,#DIV/0!,2,0,3,1,5,1,0.200,0,0,0,2,1.00,0,0.00,M,,,,,,7
337,26,Francesca Hogi,0.10,0.20,0.50,0,0,6,10,1,-0.60,0.00,0,0,8,0,-0.10,0.10,3,20,2,1,0.00,1.00,0.10,0,0,0,0,0,0,#DIV/0!,1,1,1,0,2,1,0.500,0,0,0,1,1.00,0,0.00,F,,,,,,6
395,26,Allie Pohevitz,0.10,0.31,0.32,0,0,6,10,1,-0.60,0.00,0,0,8,0,-0.28,0.10,5,19,1,1,0.00,1.00,0.10,0,0,0,0,0,0,#DIV/0!,1,0,2,1,3,1,0.333,0,0,0,1,1.00,0,0.00,F,,,,,,6
396,26,Hope Driskill,0.10,0.42,0.24,0,0,3,19,2,-0.08,0.00,1,0,8,0,0.16,0.10,7,18,1,2,0.00,1.00,0.10,0,0,0,0,0,0,#DIV/0!,1,0,3,1,4,1,0.250,0,0,0,1,0.50,1,0.50,F,,,,,,3
273,27,Tyson Apostol,2.91,10.11,0.29,0,9,2,83,11,0.82,3.82,9,7,8,0.875,1.98,11.98,39.5,1,3,2,0.82,0.18,6.73,0,0,9,2,9,2,0.22,0,0,7,6,7,6,0.857,0,0,0,2,0.18,7,0.78,M,,,,,,2
368,27,Monica Culpepper,3.40,10.11,0.34,2,12,4,94,13,0.92,3.23,10,1,8,0.125,1.38,7.38,39.5,2,2,1,0.92,0.08,6.63,0,0,9,3,9,3,0.33,0,0,7,3,7,3,0.429,0,0,0,3,0.23,7,0.70,F,,,,,,4
7,27,Gervase Peterson,1.91,10.11,0.19,0,10,4,83,11,0.90,3.18,6,0,8,0,1.09,5.09,39.5,3,2,1,0.91,0.09,5.09,0,0,9,1,9,1,0.11,0,0,7,6,7,6,0.857,0,0,0,5,0.45,5,0.50,M,,,,,2,6
291,27,Laura Morett.,3.30,8.75,0.38,1,4,19,56,6,0.61,0.81,1,0,8,0,0.99,4.11,36.5,6,2,2,0.67,0.33,4.11,0,0,4,0,4,0,0.00,0,0,5,4,5,4,0.800,0,0,16,5,0.83,1,0.17,F,,,,,,19
397,27,Caleb Bankston,0.57,6.61,0.09,0,9,4,85,10,0.90,3.15,8,0,8,0,0.98,3.72,30.5,9,1,1,0.90,0.10,3.72,0,0,5,0,5,0,0.00,0,0,7,3,7,3,0.429,0,0,1,2,0.20,8,0.80,M,,,,,,4
398,27,John Cody,1.75,3.38,0.52,0,3,8,34,4,0.69,1.75,2,0,8,0,1.21,3.50,19.5,13,1,1,0.75,0.25,3.50,0,0,0,0,0,0,#DIV/0!,0,0,3,0,3,0,0.000,0,0,11,2,0.50,2,0.50,M,,,,,,8
399,27,Katie Collins,1.20,7.61,0.16,0,7,4,102,13,0.54,1.88,9,0,8,0,0.69,3.08,33.5,8,1,6,0.54,0.46,3.08,0,0,6,1,6,1,0.17,0,0,7,1,7,1,0.143,0,0,1,4,0.31,8,0.67,F,,,,,,4
400,27,Brad Culpepper,0.25,1.55,0.16,0,4,4,40,5,0.78,2.80,3,0,8,0,0.94,3.05,14.5,15,1,1,0.80,0.20,3.05,0,0,0,0,0,0,#DIV/0!,0,0,4,0,4,0,0.000,0,0,4,2,0.40,3,0.60,M,,,,,,4
401,27,Vytas Baskauskas,1.70,4.11,0.41,0,6,10,72,9,0.65,1.33,6,0,8,0,1.06,3.03,27.5,10,1,3,0.67,0.33,3.03,0,0,2,1,2,1,0.50,0,0,7,1,7,1,0.143,0,0,5,3,0.33,5,0.63,M,,,,,,10
17,27,Tina Wesson,1.88,8.61,0.22,1,5,10,68,9,0.54,1.11,6,0,8,0,0.76,2.99,38.5,4,3,4,0.56,0.44,2.99,0,0,5,0,5,0,0.00,0,0,7,3,7,3,0.429,0,0,12,3,0.33,6,0.67,F,12/26/1961,,,,,10
402,27,Hayden Moss,0.57,8.61,0.07,0,8,6,96,12,0.66,1.87,9,0,8,0,0.73,2.43,36.5,7,1,4,0.67,0.33,2.43,0,0,7,0,7,0,0.00,0,0,7,3,7,3,0.429,0,0,1,3,0.25,9,0.75,M,,,,,,6
403,27,Ciera Eastin,1.37,9.11,0.15,0,8,13,101,13,0.61,1.01,6,0,8,0,0.76,2.38,37.5,5,1,5,0.62,0.38,2.38,0,0,8,1,8,1,0.13,0,0,7,2,7,2,0.286,0,0,0,7,0.54,5,0.42,F,,,,,,13
360,27,Kat Edorsson,0.25,1.41,0.18,2,2,5,24,3,0.60,2.07,2,0,8,0,0.78,2.33,17.5,14,2,1,0.67,0.33,2.33,0,0,0,0,0,0,#DIV/0!,0,0,6,2,6,2,0.333,0,0,1,1,0.33,2,0.67,F,,,,,,5
167,27,Aras Baskauskas,0.91,2.61,0.35,0,1,7,29,3,0.25,0.85,2,0,8,0,0.60,1.76,25.5,11,2,2,0.33,0.67,1.76,0,0,1,0,1,0,0.00,0,0,7,6,7,6,0.857,0,0,4,1,0.33,2,0.67,M,,,,,,7
404,27,Laura Boneham,0.55,2.11,0.26,1,2,11,29,4,0.41,0.93,1,0,8,0,0.66,1.48,19.5,12,1,2,0.50,0.50,1.48,0,0,0,0,0,0,#DIV/0!,0,0,7,4,7,4,0.571,0,0,1,3,0.75,1,0.25,F,,,,,,11
362,27,Colton Cumbie*,0.24,0.24,1.00,0,1,0,10,1,0.26,1.08,1,0,8,0,1.26,1.31,7.5,19,2,0,1.00,0.00,1.31,0,0,0,0,0,0,#DIV/0!,0,0,2,2,2,2,1.000,0,0,0,0,0.00,1,1.00,M,,,,,,0
190,27,Candice Cody,1.25,2.00,0.63,0,0,6,10,1,-0.60,0.00,0,0,8,0,0.03,1.25,11.5,16,3,1,0.00,1.00,1.25,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,10,1,1.00,0,0.00,F,,,,,,6
405,27,Rachel Foulger,0.00,0.74,0.00,0,1,5,27,3,0.27,1.04,2,0,8,0,0.27,1.04,7.5,18,1,2,0.33,0.67,1.04,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,0,0,1,1,0.33,2,0.67,F,,,,,,5
406,27,Marissa Peterson,0.50,1.61,0.31,0,0,10,19,2,-0.26,0.00,0,0,8,0,0.05,0.50,9.5,17,1,2,0.00,1.00,0.50,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,6,2,1.00,0,0.00,F,,,,,,10
104,27,Rupert Boneham,0.00,0.50,0.00,0,0,0,10,1,0.00,0.00,1,0,8,0,0.00,0.00,4.5,20,4,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,4,0,0.00,1,1.00,M,1/27/1964,,,,,0
407,28,Tony Vlachos,2.28,12.94,0.18,2,10,5,70,10,0.99,3.11,7,8,9,0.8888888889,2.06,10.73,39,1,1,0,1.00,0.00,5.40,1,1,9,0,10,1,0.10,7,3,6,2,13,5,0.385,2,0,0,0,0.00,6,0.60,M,,,,,,5
408,28,Woo Hwang,3.53,12.94,0.27,1,9,4,70,10,0.89,3.15,7,1,9,0.1111111111,1.28,7.35,39,2,1,1,0.90,0.10,6.68,1,0,9,2,10,2,0.20,7,3,6,3,13,6,0.462,2,0,0,3,0.30,5,0.63,M,,,,,,4
409,28,Tasha Fox,3.54,8.94,0.40,1,6,4,73,10,0.59,2.10,8,0,9,0,0.99,5.64,33,6,1,4,0.60,0.40,5.64,0,0,6,3,6,3,0.50,7,1,6,1,13,2,0.154,1,0,0,2,0.20,5,0.71,F,,,,,,4
410,28,Spencer Bledsoe,4.41,11.94,0.37,0,6,8,82,12,0.49,1.17,7,0,9,0,0.86,5.58,37,4,1,6,0.50,0.50,5.58,1,0,8,3,9,3,0.33,7,4,6,1,13,5,0.385,1,0,0,5,0.42,4,0.44,M,,,,,,8
411,28,Kass McQuillen,1.63,12.94,0.13,1,9,2,85,13,0.69,3.23,10,0,9,0,0.82,4.86,38,3,1,4,0.69,0.31,4.86,1,0,9,1,10,1,0.10,7,1,6,1,13,2,0.154,1,0,0,3,0.23,9,0.75,F,,,,,,2
412,28,Jefra Bland,1.76,7.61,0.23,1,5,9,58,7,0.69,1.54,4,0,9,0,0.92,3.30,30,7,1,2,0.71,0.29,3.30,0,0,5,0,5,0,0.00,6,5,6,3,12,8,0.667,1,0,0,3,0.43,4,0.57,F,,,,,,9
